clearance_mm,pixel_noise_std,trial_idx,success,reason,true_offset_mm,vision_error_mm,spiral_iters,insert_iters,insertion_depth_mm,tilt_deg,xy_error_mm,max_contact_force
1.0,20.0,10,True,inserted,12.367792386172075,47.42351274079171,184,27,28.125154545359493,1.496750245683901,2.054516745842495,382.0118417785277
1.0,20.0,11,False,jammed,13.196417767864027,86.21194678247807,1,123,30.268045894080043,1.9252516181611397,,0.0
1.0,20.0,12,False,jammed,3.1353323090459466,73.54674875019315,59,81,30.320594391010157,2.2488309733969585,,6.084634821525835
1.0,20.0,13,False,spiral_exhausted,11.611592485677214,34.47751796112316,220,,0.29706928659115756,3.4871864850270025,,
1.0,20.0,14,False,timeout,11.173094554838421,84.57470487084488,47,220,30.36599839917035,2.282971502707123,,0.0
3.0,0.0,0,True,inserted,12.163638572846189,1.7985771431529505,1,1,30.103888626242036,0.905365706628588,1.8724597850831404,0.0
3.0,0.0,1,True,inserted,6.673988372703514,1.5898789054593911,1,1,30.10120032553764,0.8924967075542724,1.7824000588756514,0.0
3.0,0.0,2,True,inserted,9.826197945554693,1.4381028894167895,1,1,30.102186967738355,0.8984574396113288,1.5952418013205274,0.0
3.0,0.0,3,True,inserted,15.569771553968366,1.6506653983665436,1,1,30.101808404062915,0.9033664355161449,1.8167086109592872,0.0
3.0,0.0,4,True,inserted,10.390626439223036,1.614999327234241,1,1,30.089783013923665,0.8439077605919041,1.8459822276487758,0.0
3.0,0.0,5,True,inserted,3.2177243230615815,1.7322515558859346,1,1,30.096736485369227,0.8713369111572662,1.7695025644137683,0.0
3.0,0.0,6,True,inserted,13.07647489123486,1.965997095511891,1,1,30.094861067985658,0.857717259549367,2.1964734220458575,0.0
3.0,0.0,7,True,inserted,14.307521653372117,2.0316858587707274,1,1,30.09847736894114,0.8703289399001377,2.321894442968943,0.0
3.0,0.0,8,True,inserted,1.9875524852915645,1.4591851855459783,1,1,30.09792909872593,0.8789745577948894,1.749762857380691,0.0
3.0,0.0,9,True,inserted,13.743218121539615,0.673472719050557,1,1,30.093843758532728,0.8527112242116035,0.9776543923159217,0.0
3.0,0.0,10,True,inserted,11.020618437067816,1.3794503011404557,1,1,30.088106264068696,0.8438451001573746,1.5105724207789875,0.0
3.0,0.0,11,True,inserted,6.555754759841436,1.6473637144623885,1,1,30.09113424136654,0.8534013545980333,1.7303880366045958,0.0
3.0,0.0,12,True,inserted,16.079312875530125,1.080967422902502,1,1,30.098142607586617,0.8913510304401119,1.219925578249341,0.0
3.0,0.0,13,True,inserted,17.489883581085348,1.4690494255828894,1,1,30.08383167961311,0.8226023089072914,1.7940039291101244,0.0
3.0,0.0,14,True,inserted,14.408562125493777,1.8611799102826099,1,1,30.107626247589096,0.9157565107977814,2.0477807878367305,0.0
3.0,2.0,0,True,inserted,8.504716963297483,2.402886440935251,1,1,30.09173128800348,0.8486803686834593,2.023564247456736,0.0
3.0,2.0,1,True,inserted,15.969676544088852,5.348082785058621,1,1,29.989748745015113,0.36621111796568223,3.6715523309190194,37.373326985155536
3.0,2.0,2,True,inserted,5.509347182032285,3.893331918071421,1,17,28.20509282019986,2.353827961298744,4.5459263500406895,362.12184897396793
3.0,2.0,3,True,inserted,14.880351175714662,6.832580778953996,1,1,30.112454197324556,1.0674478242341277,4.729136478805743,63.43626666210911
3.0,2.0,4,True,inserted,15.098177643425014,0.4940374388765936,1,1,30.103079864608915,0.8877846453989792,0.39076787001999375,0.0
3.0,2.0,5,True,inserted,16.449704101393607,4.026226077054129,1,10,28.302671620965718,0.42439720984766105,4.024897213583553,408.85034442364974
3.0,2.0,6,False,spiral_exhausted,12.391164263140215,9.620711116496725,220,,0.06230446393477168,0.8683351531067308,,
3.0,2.0,7,True,inserted,8.577110078326669,5.7554549964223645,1,20,28.4106536259105,1.252385087259445,4.517532889219296,351.172107206951
3.0,2.0,8,True,inserted,9.158394891375487,4.101671475774524,1,17,27.79119033220602,2.2602398286528147,4.76111269471673,459.66347396274256
3.0,2.0,9,True,inserted,9.984735052244304,1.0508323549035627,1,1,30.103563825726926,0.9021217076195486,1.4188478055465863,0.0
3.0,2.0,10,True,inserted,14.76060056795243,3.763419405721951,1,1,30.082717733184783,0.8229767171322825,3.283936386691225,0.0
3.0,2.0,11,True,inserted,14.660884033433053,2.3738955214519417,1,1,30.09244012479428,0.8482046371985649,2.8620094101047955,0.0
3.0,2.0,12,True,inserted,18.49824764203932,7.747333516672951,1,20,28.12557338519725,2.7599743527258407,4.195027914157714,399.6127078579672
3.0,2.0,13,True,inserted,3.4717197901596775,8.015939394821237,1,22,28.548533041159423,3.120946593163369,4.800958746162713,469.7583705731885
3.0,2.0,14,True,inserted,8.618435033700305,4.023888112228563,1,18,28.424996106521146,2.3605528319501596,4.799229624587678,435.6048521780246
3.0,4.0,0,True,inserted,14.230730657100537,10.50402512524743,20,20,27.233765611419443,0.4392933598511491,2.8898015736623996,368.44303878532054
3.0,4.0,1,True,inserted,2.2774607466158523,6.7069669367632745,1,19,28.28359909667163,2.1987411141064284,4.984279465795737,388.6547294130269
3.0,4.0,2,True,inserted,16.558571210488072,9.40668712080149,1,10,28.37966853852093,0.6031037892185352,4.031487337975973,382.1846425135375
3.0,4.0,3,True,inserted,14.629423498585943,15.493427751444813,45,25,27.167613330617687,3.0111570871945887,4.504038342868821,378.0710221710207
3.0,4.0,4,True,inserted,10.19953218781487,17.28558039892303,1,17,27.563078478702955,0.5556837688789098,3.3787856281822233,385.5961601279369
3.0,4.0,5,True,inserted,11.129341743680623,8.259848248920798,1,13,28.12596827761149,0.5293425918753581,3.443270473916873,393.2939920731956
3.0,4.0,6,True,inserted,12.723929200370259,6.7112851446843935,1,24,28.968413478214774,0.8670734249484585,4.467109212782699,359.15288476685635
3.0,4.0,7,False,spiral_exhausted,15.725039003704728,12.429679260587589,220,,0.09781693373846906,0.9560408607410927,,
3.0,4.0,8,True,inserted,12.171871027781833,7.766076816968805,1,21,27.849036899350615,3.0006358955835495,4.96583116078826,568.2824404298434
3.0,4.0,9,True,inserted,3.8133611052121994,10.964417611532777,14,18,28.071010903533722,0.3669635293245919,2.57937062065933,351.20941532415264
3.0,4.0,10,True,inserted,15.887676216933803,5.447896745438935,1,10,28.23647181837577,0.4740550923618772,3.6742230584369437,380.0355661877638
3.0,4.0,11,True,inserted,15.774456185501274,14.009109954877673,1,11,28.135835489962187,0.461314366233105,2.9555737697169993,408.227035972916
3.0,4.0,12,True,inserted,16.32724364297937,7.172230004465553,1,11,28.645694165039927,0.3947785537231533,2.8164748759215015,357.8246489120367
3.0,4.0,13,True,inserted,10.143190968905998,29.752206243033054,85,20,28.301191560082795,0.3072296645595924,3.1750738632531874,394.8704489425278
3.0,4.0,14,False,spiral_exhausted,15.209056163667237,15.3071544381696,220,,0.1723006340471761,0.8029250708448253,,
3.0,6.0,0,False,spiral_exhausted,14.671537725617632,18.144786340682476,220,,0.042386618698257716,0.513894969707766,,
3.0,6.0,1,True,inserted,13.111845759774692,10.373790288061214,1,23,28.15711579935478,2.5226496338488955,5.095044025132524,385.80338463238905
3.0,6.0,2,True,inserted,5.842007051042742,7.907709093529017,1,10,27.013517459537965,0.5109690624548425,3.028531076205195,364.1332938805812
3.0,6.0,3,True,inserted,8.248741539152078,25.061071268160912,33,20,27.520011500679107,0.4155093938245896,1.89599973508358,385.445442313387
3.0,6.0,4,False,spiral_exhausted,10.164986305056448,31.15307686954715,220,,0.09183284702900946,0.9556825592220081,,
3.0,6.0,5,True,inserted,5.268337146536287,22.249140679640654,2,27,28.586405399685518,0.12777859231190178,2.8551289800446513,511.94914132765985
3.0,6.0,6,False,spiral_exhausted,12.290649704400932,31.339480183508606,220,,0.1584576683614572,0.26521929286459645,,
3.0,6.0,7,False,spiral_exhausted,4.289638943299184,15.300411683643778,220,,0.16461529663936575,1.5859527239531637,,
3.0,6.0,8,True,inserted,7.44233941303444,20.437023057614727,58,26,27.19975216694985,1.298364906561918,4.334954076630685,395.82680296166444
3.0,6.0,9,False,spiral_exhausted,1.265634019958081,15.418139062130424,220,,0.265911245627401,3.6625844213846173,,
3.0,6.0,10,False,spiral_exhausted,10.017562450942123,14.594073573345172,220,,0.26450034527523286,3.776479332909427,,
3.0,6.0,11,True,inserted,10.859578728958963,9.687284498008374,1,11,28.81874233770599,0.43537094975834795,3.9881316516839047,361.60895505560956
3.0,6.0,12,True,inserted,5.219227179164376,20.400768948868645,1,15,28.801759989536617,0.43653926513575547,2.465477374753976,385.47568891160296
3.0,6.0,13,True,inserted,10.24324593564707,4.410544646975503,1,19,28.576223453943186,2.916915785431477,4.914186912776557,434.5293971060628
3.0,6.0,14,True,inserted,12.609784515789991,21.802064102589174,1,16,28.57295995702723,0.4722145962812189,1.4225697125163799,427.9160849823608
3.0,8.0,0,False,spiral_exhausted,12.119243585367668,21.72454012223562,220,,0.0,0.2951576112572406,,
3.0,8.0,1,True,inserted,4.543948351652294,13.037548808599269,26,16,27.686163112526398,0.3483802833623842,2.9571903466439604,397.1234799422365
3.0,8.0,2,True,inserted,13.234423990177465,16.437470061917406,1,26,28.75505753012349,2.579193510167647,4.109041581764818,480.7389819034001
3.0,8.0,3,False,spiral_exhausted,15.132883690372875,40.44672481076506,220,,0.0,0.22756471802331568,,
3.0,8.0,4,True,inserted,17.99686369960617,17.887014962837092,73,25,28.28601210310369,2.526786567573302,4.368405457003565,583.8150062445976
3.0,8.0,5,True,inserted,9.581455127219362,6.16906947440409,1,16,27.439456465118937,1.1127103316057059,4.295489719840046,339.9103818805485
3.0,8.0,6,True,inserted,9.790324991868271,2.6966779432542296,1,1,30.09505696928309,0.8719992391345439,3.0762425361716934,0.0
3.0,8.0,7,True,inserted,9.467007983572753,5.799625924528742,1,10,27.448943704872658,0.44177797675954295,3.8691063463676887,439.0398945932682
3.0,8.0,8,True,inserted,15.31361767490891,35.209281036647866,111,20,28.295764709559087,0.4193123529803862,3.148372129722332,380.5560762489684
3.0,8.0,9,True,inserted,15.93389522385669,20.90318870396715,55,36,27.549570129283495,1.584302586151278,4.539169555709864,420.12054327801405
3.0,8.0,10,True,inserted,12.652038005613838,3.846641539409825,1,17,28.20539993256995,2.3919614353619916,4.879483768768625,360.06064814432375
3.0,8.0,11,True,inserted,9.103388326893642,11.80513643551764,21,18,27.558837959563704,0.4256930213806659,3.10137928505137,420.0199246408433
3.0,8.0,12,True,inserted,4.7664826660033155,20.44612020447909,71,38,27.493565352965426,2.8224417375038175,4.205544547016307,479.922647785605
3.0,8.0,13,True,inserted,5.985611617033895,49.38582380847335,181,19,28.262368501686804,0.39028963118105064,3.478318819980855,389.11080615952886
3.0,8.0,14,False,spiral_exhausted,5.555318756223391,17.299324814966667,220,,0.2781031872120879,3.867046960493197,,
3.0,12.0,0,False,timeout,4.6279821565430455,72.34155537629053,156,220,30.018814821818037,0.962945135942124,,0.0
3.0,12.0,1,False,spiral_exhausted,7.602873190074361,38.28457490502688,220,,0.15981536724377077,1.7032829251757586,,
3.0,12.0,2,False,spiral_exhausted,4.7336312013635755,23.429494247363724,220,,0.009919392558982443,2.9647040191687832,,
3.0,12.0,3,True,inserted,4.030859105272784,14.525581958177906,27,18,28.996220187965505,0.3429131494763288,3.1460356851716162,398.6419693011993
3.0,12.0,4,False,spiral_exhausted,10.51454268409694,47.8349983173375,220,,0.2990429451573337,3.656100529962726,,
3.0,12.0,5,True,inserted,16.866460341558252,31.26744722356569,90,18,28.776029542999368,0.3176416029234678,2.929449203945535,377.95573848363154
3.0,12.0,6,True,inserted,16.287369277475815,30.236110083534545,85,20,27.92832758837644,0.33099643707067883,2.6746470055680787,381.99893076949326
3.0,12.0,7,False,spiral_exhausted,9.532271655100104,40.70102280736678,220,,0.6339997888427651,2.118132947287442,,
3.0,12.0,8,False,timeout,18.257561835625456,95.08942684292552,1,220,30.282351941445235,2.084062466198588,,0.0
3.0,12.0,9,False,spiral_exhausted,3.149105947951492,29.381588486722155,220,,0.07127077399667059,0.8039838281679415,,
3.0,12.0,10,False,spiral_exhausted,8.819869869466228,39.29121675194408,220,,0.14405402345189777,0.6242420459213516,,
3.0,12.0,11,False,spiral_exhausted,13.153572420606956,14.103280861232038,220,,0.343053690932002,3.7289726504917873,,
3.0,12.0,12,True,inserted,9.499354382768873,30.332407396451078,124,21,28.4250814403086,2.2173659313282674,4.491722245329296,393.0123937000471
3.0,12.0,13,True,inserted,6.516481631740484,11.769928629340782,1,22,28.09801886264197,2.5215128261429904,4.778779774401643,571.6858851815309
